id,tested_positive
293,10.928327
294,9.718642
295,26.72022
296,11.470742
297,10.195617
298,27.494453
299,25.15986
300,24.451498
301,12.813628
302,11.411967
303,22.384188
304,9.121064
305,18.651585
306,14.471522
307,21.29822
308,24.257818
309,21.752794
310,19.58935
311,20.55488
312,16.101534
313,20.743666
314,9.490625
315,20.43688
316,21.464273
317,25.329142
318,23.086748
319,22.12617
320,19.665758
321,24.935844
322,9.86034
323,22.34292
324,15.689098
325,13.011128
326,23.667646
327,21.554655
328,12.18856
329,18.642214
330,23.722822
331,12.670574
332,27.078718
333,20.337141
334,26.814377
335,24.517939
336,26.271278
337,21.477633
338,12.959845
339,16.2459
340,30.021675
341,20.180876
342,20.781519
343,20.626032
344,16.133205
345,17.63947
346,22.392063
347,24.889456
348,17.326933
349,21.701227
350,20.744814
351,11.672813
352,16.45703
353,13.138303
354,26.259024
355,21.96129
356,20.163416
357,26.89755
358,10.034676
359,10.62099
360,27.042807
361,20.341715
362,11.573004
363,23.879766
364,20.74896
365,19.664854
366,10.484071
367,10.605802
368,11.259074
369,29.660542
370,19.41723
371,22.355139
372,17.287457
373,24.685041
374,9.9972315
375,21.809105
376,22.619028
377,27.005983
378,23.889566
379,24.583944
380,22.656298
381,11.927209
382,11.592809
383,21.034056
384,10.764623
385,23.859182
386,20.35028
387,13.331149
388,20.799154
389,22.487001
390,12.276193
391,21.849995
392,25.067003
393,19.317675
394,11.122296
395,25.82755
396,23.855003
397,24.343075
398,23.931293
399,14.235663
400,25.408888
401,17.293201
402,25.66686
403,11.222602
404,10.99195
405,17.172792
406,19.403336
407,10.218693
408,24.82055
409,13.332274
410,21.051922
411,22.791162
412,11.949679
413,23.820791
414,19.724566
415,24.168371
416,26.288645
417,11.731867
418,20.353119
419,11.365861
420,11.609063
421,9.172881
422,10.520997
423,11.317552
424,26.964167
425,20.30773
426,10.759631
427,11.422795
428,29.78771
429,11.533988
430,21.136509
431,19.718956
432,22.38178
433,17.55056
434,16.761578
435,18.287125
436,20.068104
437,25.1369
438,11.059199
439,14.194993
440,22.79744
441,13.579797
442,25.368103
443,22.805044
444,25.668196
445,11.091868
446,9.108985
447,12.873285
448,15.585623
449,9.062299
450,24.949038
451,18.99363
452,20.937986
453,22.83639
454,19.931732
455,22.682695
456,12.173034
457,12.47399
458,18.52958
459,30.128956
460,8.919347
461,21.745832
462,23.271616
463,21.41202
464,24.429235
465,20.432993
466,31.76233
467,11.062951
468,12.753704
469,19.129175
470,20.917982
471,16.56187
472,17.165976
473,11.057395
474,22.941046
475,10.148877
476,9.594666
477,21.563002
478,11.854408
479,20.054873
480,21.718142
481,12.893559
482,13.084258
483,20.815329
484,13.085451
485,25.174196
486,23.310349
487,11.114688
488,33.596733
489,24.726282
490,21.681057
491,16.099125
492,14.442617
493,27.890228
494,20.38292
495,27.393358
496,24.85153
497,24.460434
498,21.475685
499,27.294601
